10.897000	10.897000	B
10.920000	10.920000	B
10.931000	10.931000	B
10.962000	10.962000	B
10.973000	10.973000	B
10.985000	10.985000	B
10.997000	10.997000	B
11.336000	11.336000	B
11.401000	11.401000	B
11.439000	11.439000	B
11.465000	11.465000	B
11.607000	11.607000	B
11.674453	11.674453	B
13.553000	13.553000	B
13.619000	13.619000	B
13.635000	13.635000	B
13.651000	13.651000	B
13.668000	13.668000	B
14.966000	14.966000	B
14.991000	14.991000	B
15.017000	15.017000	B
15.024000	15.024000	B
15.030000	15.030000	B
15.063000	15.063000	B
15.275000	15.275000	B
15.373000	15.373000	B
15.391000	15.391000	B
15.422000	15.422000	B
15.440000	15.440000	B
15.446000	15.446000	B
15.454000	15.454000	B
15.489000	15.489000	B
15.529000	15.529000	B
15.564000	15.564000	B
15.925000	15.925000	B
18.898000	18.898000	B
18.956000	18.956000	B
19.057000	19.057000	B
19.071000	19.071000	B
19.086000	19.086000	B
19.102000	19.102000	B
19.964000	19.964000	B
19.976000	19.976000	B
20.208000	20.208000	B
20.288000	20.288000	B
20.643000	20.643000	B
20.673000	20.673000	B
21.251000	21.251000	B
21.293000	21.293000	B
21.339000	21.339000	B
21.548000	21.548000	B
21.623000	21.623000	B
21.940000	21.940000	B
21.957000	21.957000	B
22.296000	22.296000	B
22.300000	22.300000	B
22.330000	22.330000	B
22.408000	22.408000	B
23.119000	23.119000	B
23.129000	23.129000	B
23.164000	23.164000	B
23.177000	23.177000	B
23.232000	23.232000	B
23.246000	23.246000	B
23.258000	23.258000	B
23.272000	23.272000	B
23.284000	23.284000	B
23.310000	23.310000	B
24.222000	24.222000	B
24.234000	24.234000	B
24.267000	24.267000	B
24.290000	24.290000	B
24.299000	24.299000	B
24.873000	24.873000	B
25.024000	25.024000	B
25.029000	25.029000	B
25.039000	25.039000	B
25.064000	25.064000	B
25.069000	25.069000	B
25.087000	25.087000	B
25.145000	25.145000	B
25.150000	25.150000	B
25.159000	25.159000	B
25.178000	25.178000	B
25.210000	25.210000	B
25.224000	25.224000	B
25.282000	25.282000	B
25.290000	25.290000	B
25.316000	25.316000	B
25.603000	25.603000	B
25.734000	25.734000	B
25.864000	25.864000	B
25.896000	25.896000	B
25.927000	25.927000	B
25.939000	25.939000	B
25.955000	25.955000	B
25.979000	25.979000	B
26.002000	26.002000	B
26.314000	26.314000	B
26.331000	26.331000	B
26.338000	26.338000	B
26.345000	26.345000	B
26.378000	26.378000	B
26.396000	26.396000	B
26.551000	26.551000	B
26.556000	26.556000	B
26.638000	26.638000	B
31.040000	31.040000	B
31.064000	31.064000	B
31.076000	31.076000	B
31.091000	31.091000	B
31.209000	31.209000	B
31.222000	31.222000	B
31.237000	31.237000	B
31.309000	31.309000	B
31.355000	31.355000	B
32.178000	32.178000	B
32.683000	32.683000	B
32.715000	32.715000	B
32.841000	32.841000	B
32.940000	32.940000	B
33.043000	33.043000	B
33.069000	33.069000	B
